Cell variables for frog model	SF Trinity at Sandy Bar test file		
SFR 1 Sept 2014	Elevation estimated from depth at 9.7 m3/s	Breeder-suitable from RSL 2/12/2015	Has-shelter added from RSL survey 10/22/2014
CellNum	Elevation (m)	Breeder-suitable?	Has-shelter?
4094	148.0019989	0	0
4095	148.0019989	0	0
4096	148.0019989	0	0
4097	148.0019989	0	0
4098	148.0019989	0	0
4099	148.0019989	0	0
4100	148.0019989	0	0
4101	148.0019989	0	0
4102	148.0019989	0	0
4103	148.0019989	0	0
4104	148.0019989	0	0
4105	148.0019989	0	0
4106	148.0019989	0	0
4107	148.0019989	0	0
4108	148.0019989	0	0
4109	148.0019989	0	0
4110	148.0019989	0	0
4111	148.0019989	0	0
4112	148.0019989	0	0
4113	148.0019989	0	0
4114	148.0019989	0	0
4115	148.0019989	0	0
4116	148.0019989	0	0
4117	148.0019989	0	0
4118	148.0019989	0	0
4119	148.0019989	0	0
4120	148.0019989	0	0
4121	148.0019989	0	0
4122	148.0019989	0	0
4123	148.0019989	0	0
4124	148.0019989	0	0
4125	148.0019989	0	0
4126	148.0019989	0	0
4127	148.0019989	0	0
4128	148.0019989	0	0
4129	148.0019989	0	0
4130	148.0019989	0	0
4131	148.0019989	0	0
4132	148.0019989	0	0
4133	148.0019989	0	0
4134	148.0019989	0	0
4135	148.0019989	0	0
4418	148.0019989	0	0
4419	148.0019989	0	0
4420	148.0019989	0	0
4421	148.0019989	0	0
4422	148.0019989	0	0
4423	148.0019989	0	0
4424	148.0019989	0	0
4425	148.0019989	0	0
4426	148.0019989	0	0
4427	148.0019989	0	0
4428	148.0019989	0	0
4429	148.0019989	0	0
4430	148.0019989	0	0
4431	148.0019989	0	0
4432	148.0019989	0	0
4433	148.0019989	0	0
4434	148.0019989	0	0
4435	148.0019989	0	0
4436	148.0019989	0	0
4437	148.0019989	0	0
4438	148.0019989	0	0
4439	148.0019989	0	0
4440	148.0019989	0	0
4441	148.0019989	0	0
4442	148.0019989	0	0
4443	148.0019989	0	0
4444	148.0019989	0	0
4445	148.0019989	0	0
4446	148.0019989	0	0
4447	148.0019989	0	0
4448	148.0019989	0	0
4449	148.0019989	0	0
4450	148.0019989	0	0
4451	148.0019989	0	0
4452	148.0019989	0	0
4453	148.0019989	0	0
4454	148.0019989	0	0
4455	148.0019989	0	0
4456	148.0019989	0	0
4457	148.0019989	0	0
4458	148.0019989	0	0
4459	148.0019989	0	0
4460	148.0019989	0	0
4461	148.0019989	0	0
4462	148.0019989	0	0
4463	148.0019989	0	0
4464	147.878128	0	0
4465	147.6565704	0	0
4466	147.2335815	0	0
4467	147.2311249	0	0
4468	147.9095306	0	0
4469	146.9508057	0	0
4470	146.2459259	0	0
4471	146.8187256	0	0
4472	147.6844482	0	0
4473	148.0019989	0	0
4474	148.0019989	0	0
4475	148.0019989	0	0
4476	148.0019989	0	0
4477	148.0019989	0	0
4478	148.0019989	0	0
4479	148.0019989	0	0
4480	148.0019989	0	0
4481	148.0019989	0	0
4482	148.0019989	0	0
4483	148.0019989	0	0
4484	148.0019989	0	0
4485	148.0019989	0	0
4486	148.0019989	0	0
4487	148.0019989	0	0
4488	148.0019989	0	0
4489	148.0019989	0	0
4490	148.0019989	0	0
4491	148.0019989	0	0
4492	148.0019989	0	0
4493	148.0019989	0	0
4494	148.0019989	0	0
4495	148.0019989	0	0
4496	148.0019989	0	0
4497	148.0019989	0	0
4498	148.0019989	0	0
4499	148.0019989	0	0
4500	148.0019989	0	0
4501	148.0019989	0	0
4502	148.0019989	0	0
4503	148.0019989	0	0
4504	148.0019989	0	0
4505	148.0019989	0	0
4506	148.0019989	0	0
4507	148.0019989	0	0
4508	148.0019989	0	0
